Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
54,kl200_HDPE_ps_2,HDPE,white,regular,2023-04-18 10:40:14,0.2719882,0.0942358,0.1366541,0.165731,0.0853615,0.0718978,0.0420342,0.0236018,2.154323418,-0.2308263805,0.3383586189,0.7285236022,-0.3499051376,-0.530566222,-0.9312874472,-1.178620452,1.528367256,1.735126503,-0.4647546533,0.2454068829,-0.7539863588,-0.7841161124,-0.9259250216,-0.5801184963
55,kl200_HDPE_ps_3,HDPE,white,regular,2023-04-18 10:40:32,0.6659154,0.2168168,0.3826963,0.4225049,0.2324759,0.2026747,0.1231134,0.0621863,2.079362999,-0.3952517106,0.5187744092,0.7381270127,-0.3089672305,-0.4731772456,-0.9115744335,-1.247293801,1.728391985,1.526603886,-0.2804784472,0.2169423016,-0.8802213849,-0.7467848489,-0.772874275,-0.791579217
56,222_HDPE_ps_1,HDPE,purple,regular,2023-04-18 10:41:34,0.5750888,0.1945038,0.3200974,0.4005224,0.191834,0.1662727,0.1251763,0.0672305,2.046978782,-0.3875653952,0.4158377016,0.9303041558,-0.4046436984,-0.5681554345,-0.831042835,-1.201713277,1.337295493,1.423753725,-0.7287366616,0.4883237841,-1.340096424,-1.247509173,-0.1406831843,0.2076524415
57,222_HDPE_ps_2,HDPE,purple,regular,2023-04-18 10:41:47,0.5426836,0.2028486,0.3706152,0.4105352,0.1910171,0.1974961,0.1205865,0.0539811,1.833110074,-0.380163339,0.7124650109,0.97245552,-0.4572193938,-0.4150230384,-0.9159189816,-1.349705852,0.9153151363,1.763242518,0.06268348184,0.6312733274,-1.453329113,-0.4127286408,-0.4115249458,-1.094931764
58,222_HDPE_ps_3,HDPE,purple,regular,2023-04-18 10:42:03,0.4128556,0.1450826,0.2340306,0.2845324,0.158675,0.1532288,0.0887279,0.0464983,2.033019083,-0.4147482628,0.3983434599,0.8599906647,-0.2904973754,-0.3402821951,-0.9298980145,-1.31592736,1.335111718,1.800478338,-1.102910059,0.2001604844,-1.103268736,-0.1985671125,-0.5864651587,-0.344539475
59,212_HDPE_ps_1,HDPE,white,regular,2023-04-18 10:43:57,0.7028484,0.2311434,0.4439805,0.4848907,0.2715175,0.2451952,0.1385391,0.0703316,1.958214656,-0.4771074261,0.6217295368,0.8329410217,-0.2686637223,-0.4045606885,-0.9552055949,-1.307347783,1.614518977,1.461163122,-0.1396486913,0.4372502112,-0.8975677322,-0.4610909778,-1.012402282,-1.002222627
60,212_HDPE_ps_2,HDPE,white,regular,2023-04-18 10:44:21,0.6522161,0.2271548,0.4200189,0.4883743,0.271727,0.2142228,0.1358338,0.0696744,1.875073815,-0.4532646575,0.6031780342,0.9776052229,-0.209113595,-0.5241016712,-0.953489443,-1.315887705,1.251561314,1.629074381,-0.2718126759,0.8068081487,-0.6151779523,-1.131678523,-0.8752819667,-0.7934927257
61,212_HDPE_ps_3,HDPE,white,regular,2023-04-18 10:44:40,0.7380512,0.2502092,0.4512571,0.4728209,0.2655517,0.2320003,0.1407687,0.0711304,2.037326351,-0.3848689234,0.6133585219,0.7204254297,-0.308691532,-0.4752783419,-0.9282544088,-1.274017097,1.571120905,1.682656465,-0.0893235941,0.1029770539,-0.9089006788,-0.7580334182,-0.7914920984,-0.8090046339
62,206_HDPE_ps_1,HDPE,white,regular,2023-04-18 10:45:24,0.7831308,0.2590244,0.5089293,0.5464239,0.3451348,0.2975351,0.1933608,0.0927694,1.944432501,-0.5728184767,0.6274594705,0.8075437406,-0.1592354932,-0.3878539404,-0.8881967306,-1.371331071,1.705116901,1.533037942,-0.9363502936,-0.1620820141,-0.9340779864,-0.7365290352,0.1618871841,-0.631002698
63,206_HDPE_ps_2,HDPE,white,regular,2023-04-18 10:45:35,0.7676854,0.2536737,0.5074755,0.5494281,0.3345231,0.2932533,0.1827645,0.0910988,1.909363207,-0.5740401029,0.6521814599,0.8548718377,-0.183423182,-0.3828146704,-0.9166318025,-1.359506746,1.717989125,1.528942422,-0.7073643201,0.211175846,-1.098408177,-0.6674622148,-0.3722375668,-0.6126351137
64,206_HDPE_ps_3,HDPE,white,regular,2023-04-18 10:45:49,0.8391284,0.273441,0.5270798,0.5746314,0.3386841,0.3011765,0.1869343,0.0974557,1.984655853,-0.5280224308,0.5985939736,0.8098093422,-0.2382247077,-0.4048264952,-0.9122691128,-1.309716422,1.779288095,1.458484446,-0.6381825435,0.1136300395,-1.178940142,-0.7247330184,-0.5530086744,-0.2565382028
