PlasticType,Color,MeasurementType,white,nm850,nm940,nm1200,nm1300,nm1450,nm1550,nm1650
LDPE,D01C,VALUE,14985,286758,413356,274253,280618,272600,287725,157452
LDPE,D01C,POST,471,472,456,465,472,481,456,475
LDPE,D02C,PRE,388,448,402,417,399,434,474,503
LDPE,D02C,VALUE,13569,266107,379587,277755,258608,261016,275190,147664
LDPE,D02C,POST,473,449,453,462,417,489,478,438
LDPE,D02C,PRE,445,455,458,349,455,457,468,489
LDPE,D02C,VALUE,13764,274185,408190,286142,273764,266219,279970,148148
LDPE,D02C,POST,516,487,520,436,466,479,488,487
LDPE,D02C,PRE,455,341,434,425,388,350,428,421
LDPE,D02C,VALUE,13754,264953,382990,253418,255197,254678,275672,159483
LDPE,D02C,POST,480,390,384,505,486,464,461,465
LDPE,D02C,PRE,463,472,468,502,475,456,479,472
LDPE,D02C,VALUE,14097,284177,398780,300309,300081,266421,324950,163477
LDPE,D02C,POST,478,450,476,452,468,481,447,443
LDPE,D03C,PRE,401,441,432,425,449,404,365,382
LDPE,D03C,VALUE,12588,259112,364353,228492,238261,232584,248908,143123
