Type,ID,Color,940,1050,1200,1300,1450,1550,1650,1720
PS,301,black,0.0095,0.009,0.0086,0.0129,0.0096,0.013,0.0141,0.0034
PS,301,black,0.0095,0.009,0.0087,0.0129,0.0097,0.0131,0.0141,0.0034
PS,301,black,0.0095,0.009,0.0086,0.0129,0.0097,0.013,0.0141,0.0034
PS,302,white,0.0725,0.0565,0.0524,0.0617,0.0471,0.0477,0.0653,0.0113
PS,302,white,0.0725,0.0565,0.0525,0.0617,0.0471,0.0477,0.0652,0.0113
PS,302,white,0.0725,0.0565,0.0525,0.0617,0.0471,0.0477,0.0653,0.0113
PS,302,white,0.0724,0.0565,0.0525,0.0617,0.0472,0.0477,0.0652,0.0113
PS,302,white,0.0723,0.0565,0.0525,0.0617,0.0471,0.0477,0.0653,0.0113
PS,303,white,0.091,0.072,0.068,0.0916,0.0758,0.0675,0.0789,0.0143
PS,303,white,0.091,0.0721,0.068,0.0916,0.0758,0.0675,0.0788,0.0143
PS,303,white,0.091,0.072,0.068,0.0917,0.0758,0.0675,0.0789,0.0143
PS,303,white,0.091,0.0721,0.068,0.0917,0.0759,0.0675,0.0789,0.0144
PS,303,white,0.091,0.072,0.0681,0.0917,0.0758,0.0676,0.0789,0.0143
PS,305,white,0.0979,0.0745,0.0708,0.0852,0.0692,0.0746,0.0855,0.0149
PS,305,white,0.0978,0.0745,0.0708,0.0853,0.0693,0.0746,0.0854,0.0149
PS,305,white,0.0979,0.0745,0.0708,0.0853,0.0692,0.0746,0.0855,0.0149
PS,305,white,0.0978,0.0745,0.0708,0.0853,0.0692,0.0746,0.0854,0.0149
